School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
HASTINGS ON HUDSON U F S,HILLSIDE ELEMENTARY SCHOOL,Westchester,Public School,83,No,10,0,0,73,Yes,09/23/2016,83,0,Yes,Yes,09/28/2016,www.hohschools.org,660404030001,120 LEFURGY AVE,HASTINGS HDSN,NY,10706,10/03/2018,10/03/2018,"(41.039278, -73.805386)","120 LEFURGY AVE
HASTINGS HDSN, NY 10706
(40.993773359000045, -73.86881120699996)"
LITTLE FALLS CITY SCHOOLS,LITTLE FALLS HIGH SCHOOL,Herkimer,Public School,74,No,0,0,0,74,Yes,11/04/2016,71,3,Yes,Yes,11/28/2016,http://www.lfcsd.org,210800050005,HIGH SCHOOL ROAD,LITTLE FALLS,NY,13365,09/26/2018,11/01/2018,"(43.070026, -74.994246)","HIGH SCHOOL ROAD
LITTLE FALLS, NY 13365
(43.05598170800005, -74.87172412499996)"
ELMONT UNION FREE SCHOOL,GOTHAM AVENUE SCHOOL,Nassau,Public School,28,No,0,0,0,28,Yes,09/22/2016,28,0,Yes,Yes,12/08/2016,www.elmontschools.org,280216020006,181 GOTHAM AVE,ELMONT,NY,11003,10/10/2018,10/10/2018,"(40.715749, -73.601185)","181 GOTHAM AVE
ELMONT, NY 11003
(40.70441748600007, -73.71664941499995)"
HILTON CENTRAL SCHOOL,NORTHWOOD ELEM SCHOOL,Monroe,Public School,125,No,125,0,0,0,Yes,04/07/2016,122,5,Yes,Yes,06/10/2016,www.hilton.k12.ny.us,261101060006,433 N GREECE RD,HILTON,NY,14468,10/05/2018,11/10/2016,"(43.161748, -77.620143)","433 N GREECE RD
HILTON, NY 14468
(43.26709940400008, -77.73239105999994)"
NORTH ROSE-WOLCOTT CENT SCH,NORTH ROSE-WOLCOTT MID SCH,Wayne,Public School,22,No,21,0,0,0,Yes,09/28/2016,21,1,Yes,Yes,10/18/2016,www.nrwcs.org/news.cfm?story=122107,651501060004,NEW HARTFORD ST,WOLCOTT,NY,14590,10/17/2018,11/22/2016,"(43.144336, -77.117995)","NEW HARTFORD ST
WOLCOTT, NY 14590
(43.215802746000065, -76.81471167099994)"
LANCASTER CENTRAL SCHOOL,LANCASTER H S,Erie,Public School,388,No,0,0,0,388,Yes,10/21/2017,324,64,Yes,Yes,11/16/2017,http://www.lancasterschools.org/site/Default.aspx?PageID=20704,141901060008,1 FORTON DR,LANCASTER,NY,14086,10/11/2018,09/24/2018,"(42.888143, -78.795544)","1 FORTON DR
LANCASTER, NY 14086
(42.93118794800006, -78.67224502499994)"
LYNBROOK UNION FREE SCHOOL,MARION STREET SCHOOL,Nassau,Public School,68,No,41,0,0,17,Yes,11/21/2018,68,0,Yes,Yes,11/22/2018,http://www.lynbrookschools.org/schools/assets/fileupload/Lynbrook%20UFSD%20092716.pdf,280220030002,MARION ST,LYNBROOK,NY,11563,11/28/2018,11/28/2018,"(40.715749, -73.601185)","MARION ST
LYNBROOK, NY 11563
(40.647019629000056, -73.67487486999994)"
LIVONIA CENTRAL SCHOOL,LIVONIA INTERMEDIATE SCHOOL,Livingston,Public School,17,No,17,0,0,0,Yes,07/28/2016,15,2,Yes,Yes,08/12/2016,http://www.livoniacsd.org/Page/1104,240801060004,LIVONIA MIDDLE SCHOOL,LIVONIA,NY,14487,01/30/2017,01/30/2017,"(42.763754, -77.765392)","LIVONIA MIDDLE SCHOOL
LIVONIA, NY 14487
(42.82147000000003, -77.66840999999994)"
GREENBURGH-GRAHAM U F S,MARTIN LUTHER KING HIGH  SCHOOL,Westchester,Public School,22,No,21,0,0,1,Yes,08/14/2018,22,0,No,Yes,08/14/2018,www.greenburgh-graham.org,660410020002,ONE S BROADWAY,HASTINGS-ON-HUDSON,NY,10706,11/20/2018,11/20/2018,"(41.039278, -73.805386)","ONE S BROADWAY
HASTINGS-ON-HUDSON, NY 10706
(40.979348524000045, -73.88019051799995)"
FRANKLINVILLE CENTRAL SCHOOL DISTRICT,FRANKLINVILLE ES,Cattaraugus,Public School,113,No,72,0,0,41,Yes,09/29/2016,101,12,Yes,Yes,11/30/2016,www.tbafcs.org,041101040003,31 N MAIN ST,FRANKLINVILLE,NY,14737,09/25/2018,12/07/2016,"(42.224267, -78.606673)","31 N MAIN ST
FRANKLINVILLE, NY 14737
(42.340231929000026, -78.45679863699996)"
MOUNT PLEASANT-COTTAGE U F S,COTTAGE SCHOOL-HIGH,Westchester,Public School,67,No,0,0,0,63,Yes,09/24/2016,63,4,Yes,Yes,10/19/2016,www.mpcsny.org  under District Information and compliance Please note MPCS High School and Middle/Elementary are the same facility,660804020002,COTTAGE SCHOOL-HIGH,PLEASANTVILLE,NY,10570,11/07/2016,11/07/2016,"(41.039278, -73.805386)","COTTAGE SCHOOL-HIGH
PLEASANTVILLE, NY 10570
(41.133613800000035, -73.78677729999998)"
ITHACA CITY SCHOOLS,ITHACA S H S,Tompkins,Public School,147,No,0,0,0,147,Yes,01/22/2017,133,14,Yes,Yes,01/22/2017,http://www.ithacacityschools.org/districtpage.cfm?pageid=601,610600010017,1401 N. CAYUGA ST,ITHACA,NY,14850,10/31/2018,10/31/2018,"(42.461024, -76.478784)","1401 N. CAYUGA ST
ITHACA, NY 14850
(42.455046638000056, -76.49989293399994)"
HUDSON FALLS CENTRAL SCHOOL,HUDSON FALLS INTERMEDIATE BUILDING,Washington,Public School,76,No,0,0,0,76,Yes,09/20/2016,76,0,No,Yes,11/11/2016,www.hfcsd.org,641301060004,139 MAPLE ST,HUDSON FALLS,NY,12839,10/27/2016,12/01/2016,"(43.289513, -73.454761)","139 MAPLE ST
HUDSON FALLS, NY 12839
(43.30418969800007, -73.57141093099995)"
MONTICELLO CENTRAL SCHOOL,KENNETH L RUTHERFORD SCHOOL,Sullivan,Public School,102,No,29,0,0,73,Yes,09/27/2016,97,23,Yes,Yes,10/31/2016,http://www.monticelloschools.net/,591401060004,9 PATRICIA PLACE,MONTICELLO,NY,12701,11/09/2016,12/05/2016,"(41.705166, -74.711705)","9 PATRICIA PLACE
MONTICELLO, NY 12701
(41.64688666300003, -74.69869072299997)"
LONG BEACH CITY SCHOOLS,LONG BEACH S H S,Nassau,Public School,39,No,30,0,0,9,Yes,11/18/2016,39,0,Yes,Yes,04/21/2017,www.lbeach.org,280300010008,LAGOON DR WEST,LONG BEACH,NY,11561,10/15/2018,10/15/2018,"(40.715749, -73.601185)","LAGOON DR WEST
LONG BEACH, NY 11561
(40.59242021400007, -73.63292565899997)"
HUNTINGTON UNION FREE SCHOOL,JEFFERSON PRIMARY SCHOOL,Suffolk,Public School,81,No,24,0,0,55,Yes,09/11/2018,81,0,Yes,Yes,09/11/2018,http://www.hufsd.edu,580403030005,253 OAKWOOD RD,HUNTINGTON,NY,11743,09/27/2018,09/27/2018,"(40.820237, -73.119032)","253 OAKWOOD RD
HUNTINGTON, NY 11743
(40.84981953300007, -73.43196136099994)"
LINDENHURST UNION FREE SCHOOL,DANIEL STREET SCHOOL,Suffolk,Public School,114,No,89,0,0,19,Yes,12/01/2016,113,1,Yes,Yes,02/02/2017,http://www.lindenhurstschools.org/Assets/2016-17/Lindenhurst_UFSD.pdf?t=636147252529330000,580104030003,DANIEL ST,LINDENHURST,NY,11757,12/09/2016,09/27/2018,"(40.820237, -73.119032)","DANIEL ST
LINDENHURST, NY 11757
(40.69852087900006, -73.36965802799995)"
FREDONIA CENTRAL SCHOOL DISTRICT,FREDONIA ES,Chautauqua,Public School,205,No,0,0,0,0,Yes,09/21/2016,171,34,Yes,Yes,10/14/2016,www.fredonia.wnyric.org,062201060001,425 E MAIN ST,FREDONIA,NY,14063,10/31/2018,10/24/2018,"(42.246904, -79.315313)","425 E MAIN ST
FREDONIA, NY 14063
(42.44934671400006, -79.31055014799995)"
MALONE CENTRAL SCHOOL,DAVIS ELEMENTARY SCHOOL,Franklin,Public School,159,No,0,0,0,159,Yes,09/22/2016,159,0,Yes,Yes,06/14/2017,http://www.malonecsd.org/,161501060011,WEBSTER ST,MALONE,NY,12953,10/17/2016,09/25/2018,"(44.705699, -74.340621)","WEBSTER ST
MALONE, NY 12953
(44.79552604000003, -74.27820988099995)"
MASSENA CENTRAL SCHOOL,MADISON ELEM SCHOOL,Saint Lawrence,Public School,124,No,76,0,0,48,Yes,10/25/2016,118,6,Yes,Yes,04/18/2017,http://www.mcs.k12.ny.us/,512001060004,N MAIN ST,MASSENA,NY,13662,12/01/2016,09/25/2018,"(44.689468, -75.242045)","N MAIN ST
MASSENA, NY 13662
(44.938816114000076, -74.89702010799994)"
NORTH WARREN CENTRAL SCHOOL,NORTH WARREN CENTRAL SCHOOL,Warren,Public School,201,This school has one or more lead-free buildings,0,0,0,201,Yes,09/24/2016,163,38,Yes,Yes,11/02/2016,northwarrencsd.org,630202040001,6110 ST RT 8,CHESTERTOWN,NY,12817,11/16/2016,11/16/2016,"(43.403024, -73.716044)","6110 ST RT 8
CHESTERTOWN, NY 12817
(43.66445825300008, -73.78468603599998)"
FREEPORT UNION FREE SCHOOL,NEW VISIONS ES,Nassau,Public School,43,No,43,0,0,0,Yes,10/19/2016,43,0,Yes,Yes,12/22/2016,Freeportschools.org,280209030009,80 RAYNOR ST,FREEPORT,NY,11520,10/05/2018,10/05/2018,"(40.715749, -73.601185)","80 RAYNOR ST
FREEPORT, NY 11520
(40.65108643200006, -73.57961210699995)"
NEW ROCHELLE CITY SCHOOLS,WILLIAM B WARD ELEM SCHOOL,Westchester,Public School,179,No,63,0,0,116,Yes,09/28/2016,130,49,Yes,Yes,10/10/2016,http://www.nred.org/groups/17137/health__safety/lead_in_schools_water_situation,661100010009,311 BROADFIELD RD,NEW ROCHELLE,NY,10804,12/13/2016,12/13/2016,"(41.039278, -73.805386)","311 BROADFIELD RD
NEW ROCHELLE, NY 10804
(40.956713738000076, -73.78304439199997)"
HEWLETT WOODMERE PUBLIC SCHOOLS,HEWLETT ELEM SCHOOL,Nassau,Public School,18,No,0,0,0,18,Yes,09/30/2016,18,0,Yes,Yes,12/12/2016,www.hewlett-woodmere.net,280214030002,BROADWAY,HEWLETT,NY,11557,10/12/2018,10/12/2018,"(40.715749, -73.601185)","BROADWAY
HEWLETT, NY 11557
(40.64155025000008, -73.69801564699998)"
HIGHLAND CENTRAL SCHOOL,HIGHLAND MIDDLE SCHOOL,Ulster,Public School,97,No,0,0,0,97,Yes,10/08/2016,69,28,Yes,Yes,11/16/2016,http://www.highland-k12.org/,620803040003,71 MAIN ST,HIGHLAND,NY,12528,12/02/2016,12/02/2016,"(41.848374, -74.099412)","71 MAIN ST
HIGHLAND, NY 12528
(41.722021178000034, -73.96528036999996)"
GRAND ISLAND CENTRAL SCHOOL,KAEGEBEIN SCHOOL,Erie,Public School,5,No,0,0,0,5,Yes,08/18/2017,5,2,Yes,Yes,09/01/2017,www.grandislandschools.org,141501060003,1690 LOVE RD,GRAND ISLAND,NY,14072,10/09/2018,10/09/2018,"(42.888143, -78.795544)","1690 LOVE RD
GRAND ISLAND, NY 14072
(42.99611892900003, -78.95222098699998)"
MEDINA CENTRAL SCHOOL,CLIFFORD WISE MIDDLE SCHOOL,Orleans,Public School,89,No,0,0,0,89,Yes,10/12/2016,79,10,Yes,Yes,10/12/2017,medinacsd.org,450801060003,GWINN ST,MEDINA,NY,14103,11/22/2016,09/28/2018,"(43.248394, -78.218438)","GWINN ST
MEDINA, NY 14103
(43.21303143600005, -78.39089900899995)"
HENDRICK HUDSON CENTRAL SCHOOL,BUCHANAN-VERPLANCK ELEM SCHOOL,Westchester,Public School,36,No,76,0,0,36,Yes,09/23/2016,30,6,Yes,Yes,09/28/2016,https://www.henhudschools.org/site/Default.aspx?PageID=10314,660203060008,160 WESTCHESTER AVE,BUCHANAN,NY,10511,10/11/2018,10/11/2018,"(41.039278, -73.805386)","160 WESTCHESTER AVE
BUCHANAN, NY 10511
(41.25922341100005, -73.94672706399996)"
MILLBROOK CENTRAL SCHOOL,ALDEN PLACE ELEMENTARY SCHOOL,Dutchess,Public School,77,No,0,0,0,77,Yes,09/17/2016,71,0,Yes,Yes,11/09/2016,www.millbrookcsd.org,132201040002,41 ALDEN PLACE,MILLBROOK,NY,12545,12/06/2016,12/06/2016,"(41.686216, -73.840468)","41 ALDEN PLACE
MILLBROOK, NY 12545
(41.78287528100003, -73.68970518199995)"
NORTH BELLMORE U F S,JACOB GUNTHER ELEMENTARY (LEAD ONLY),Nassau,Public School,13,No,12,0,0,1,Yes,10/07/2016,13,0,Yes,Yes,01/13/2017,northbellmoreschools.org,280204020001,2600 REGENT PLACE,N. BELLMORE,NY,11710,10/11/2018,10/11/2018,"(40.715749, -73.601185)","2600 REGENT PLACE
N. BELLMORE, NY 11710
(40.703507054000056, -73.53920722799995)"
ELMIRA CITY SCHOOL DISTRICT,ELMIRA HIGH SCHOOL,Chemung,Public School,194,No,0,0,0,194,Yes,10/25/2016,194,0,Yes,Yes,12/26/2016,elmiracityschools.com,070600010020,777 S MAIN ST,ELMIRA,NY,14904,12/16/2016,10/15/2018,"(42.116644, -76.812331)","777 S MAIN ST
ELMIRA, NY 14904
(42.06866429100006, -76.79791014999995)"
MAINE ENDWELL CENTRAL SCHOOL DISTRICT,MAINE ENDWELL SHS,Broome,Public School,161,No,0,0,0,161,Yes,11/29/2016,147,14,Yes,Yes,11/29/2016,http://www.me.stier.org/Downloads/HS%20testing%20results.pdf,031101060006,750 FARM-TO-MARKET RD,ENDWELL,NY,13760,12/06/2016,12/06/2016,"(42.122015, -75.933191)","750 FARM-TO-MARKET RD
ENDWELL, NY 13760
(42.128448039000034, -76.02333600199995)"
NEWBURGH ENLARGED CITY SCHOOL DISTRICT,HERITAGE MIDDLE SCHOOL,Orange,Public School,74,This school has one or more lead-free buildings,0,0,0,74,Yes,11/18/2016,74,0,Yes,Yes,11/17/2016,newburghschools.org,441600010003,405 UNION AVE,NEWBURGH,NY,12550,12/22/2016,12/12/2016,"(41.422459, -74.241929)","405 UNION AVE
NEWBURGH, NY 12550
(41.48095182600008, -74.04959778499995)"
NEW HARTFORD CENTRAL SCHOOL,BRADLEY ELEMENTARY SCHOOL,Oneida,Public School,97,No,0,0,0,97,Yes,09/27/2016,97,0,No,Yes,11/17/2016,www.newhartfordschools.org,411501060004,OXFORD RD,NEW HARTFORD,NY,13413,11/04/2016,10/23/2018,"(43.149482, -75.361773)","OXFORD RD
NEW HARTFORD, NY 13413
(43.054840468000066, -75.28225998999994)"
NORTH COLONIE CENTRAL SCHOOL DISTRICT,SOUTHGATE SCHOOL,Albany,Public School,98,No,0,0,0,98,Yes,09/28/2016,95,3,Yes,Yes,11/15/2016,http://www.northcolonie.org/,010623060008,30 SOUTHGATE RD,LOUDONVILLE,NY,12211,11/07/2016,01/12/2017,"(42.678066, -73.814233)","30 SOUTHGATE RD
LOUDONVILLE, NY 12211
(42.72269950300006, -73.77592447199999)"
JOHNSON CITY CENTRAL SCHOOL DISTRICT,JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,Broome,Public School,27,No,0,0,0,27,Yes,09/20/2016,25,2,Yes,Yes,10/03/2016,www.jcschools.com,031502060003,601 COLUMBIA DR,JOHNSON CITY,NY,13790,11/10/2016,11/10/2016,"(42.122015, -75.933191)","601 COLUMBIA DR
JOHNSON CITY, NY 13790
(42.13491611400008, -75.96164868999995)"
LIVERPOOL CENTRAL SCHOOL,LIVERPOOL HIGH SCHOOL,Onondaga,Public School,174,No,0,0,0,174,Yes,12/13/2016,121,53,Yes,Yes,01/03/2017,www.liverpool.k12.ny.us,421501060011,4338 WETZEL RD,LIVERPOOL,NY,13090,10/10/2018,10/10/2018,"(43.065629, -76.168033)","4338 WETZEL RD
LIVERPOOL, NY 13090
(43.15013536200007, -76.21393688299997)"
NEWARK VALLEY CENTRAL SCHOOL DISTRICT,NEWARK VALLEY MIDDLE SCHOOL,Tioga,Public School,40,No,0,0,0,40,Yes,04/20/2017,40,0,Yes,Yes,04/20/2017,www.nvcs.stier.org,600402040001,88 WHIG ST,NEWARK VALLEY,NY,13811,11/08/2018,11/08/2018,"(42.120252, -76.29595)","88 WHIG ST
NEWARK VALLEY, NY 13811
(42.23083977400006, -76.18543393499993)"
HEUVELTON CENTRAL SCHOOL,HEUVELTON CENTRAL SCHOOL,Saint Lawrence,Public School,77,No,0,0,0,77,Yes,11/23/2016,77,0,Yes,Yes,12/19/2016,http://heuvelton.schoolfusion.us/,512404040001,87 WASHINGTON ST,HEUVELTON,NY,13654,12/21/2016,12/21/2016,"(44.689468, -75.242045)","87 WASHINGTON ST
HEUVELTON, NY 13654
(44.62109265500004, -75.40905058999994)"
KATONAH LEWISBORO U F S,MEADOW POND ELEM SCHOOL,Westchester,Public School,44,No,0,0,0,44,Yes,09/23/2016,44,0,Yes,Yes,01/17/2017,www.klschools.org,660101030006,185 SMITHRIDGE RD,SOUTH SALEM,NY,10590,09/21/2018,09/25/2018,"(41.039278, -73.805386)","185 SMITHRIDGE RD
SOUTH SALEM, NY 10590
(41.24115609200004, -73.52446012199994)"
LOCKPORT CITY SCHOOLS,EMMET BELKNAP J H S,Niagara,Public School,61,No,0,0,0,61,Yes,09/23/2016,60,1,Yes,Yes,10/14/2016,http://www.lockportschools.org/,400400010009,491 HIGH ST,LOCKPORT,NY,14094,11/05/2018,11/05/2018,"(43.134634, -78.856419)","491 HIGH ST
LOCKPORT, NY 14094
(43.16419552900004, -78.67801246099998)"
MCGRAW CENTRAL SCHOOL DISTRICT,MCGRAW ES,Cortland,Public School,61,No,51,0,0,10,Yes,09/29/2016,61,0,Yes,Yes,09/29/2016,http://www.mcgrawschools.org/teacherpage.cfm?teacher=982,110304040001,W ACADEMY ST,MCGRAW,NY,13101,09/24/2018,09/24/2018,"(42.597101, -76.143291)","W ACADEMY ST
MCGRAW, NY 13101
(42.59177401100004, -76.09802483799996)"
MANHASSET UNION FREE SCHOOL,MANHASSET MS,Nassau,Public School,144,No,21,0,0,122,Yes,10/03/2018,144,0,Yes,Yes,10/04/2018,https://www.manhassetschools.org/cms/lib/NY01913789/Centricity/Domain/62/Lead%20Management%20Tables%20PDF%20100918.pdf,280406030005,MEMORIAL PLACE,MANHASSET,NY,11030,10/29/2018,10/19/2018,"(40.715749, -73.601185)","MEMORIAL PLACE
MANHASSET, NY 11030
(40.79466950500006, -73.70264948099998)"
MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,EUGENE AVER MEMORIAL,Suffolk,Public School,36,No,31,0,0,5,Yes,01/24/2017,36,0,Yes,Yes,06/27/2017,www.middlecountry.k12.ny.us,580211060007,WING ST,LAKE GROVE,NY,11755,10/10/2018,10/10/2018,"(40.820237, -73.119032)","WING ST
LAKE GROVE, NY 11755
(40.863902660000065, -73.11438593499997)"
NORTH SYRACUSE CENTRAL SCHOOL,SMITH ROAD ELEM SCHOOL,Onondaga,Public School,131,No,48,0,0,83,Yes,09/22/2016,126,5,Yes,Yes,12/16/2016,nscsd.org,420303060008,5959 SMITH RD,NO SYRACUSE,NY,13212,10/31/2016,10/22/2018,"(43.065629, -76.168033)","5959 SMITH RD
NO SYRACUSE, NY 13212
(43.13515120100004, -76.10758749499996)"
GREAT NECK UNION FREE SCHOOL,SADDLE ROCK SCHOOL,Nassau,Public School,47,No,47,0,0,0,Yes,01/13/2017,47,0,Yes,Yes,05/10/2017,www.greatneck.k12.ny.us,280407030010,10 HAWTHORNE LN,GREAT NECK,NY,11023,10/17/2018,10/17/2018,"(40.715749, -73.601185)","10 HAWTHORNE LN
GREAT NECK, NY 11023
(40.79201880900007, -73.74664422799998)"
NEW ROCHELLE CITY SCHOOLS,ISAAC E. YOUNG JHS,Westchester,Public School,105,No,0,0,0,105,Yes,10/28/2016,87,18,Yes,Yes,11/08/2016,http://www.nred.org/groups/17137/health__safety/lead_in_schools_water_situation,661100010014,270 CENTRE AVE,NEW ROCHELLE,NY,10805,12/11/2016,12/11/2016,"(41.039278, -73.805386)","270 CENTRE AVE
NEW ROCHELLE, NY 10805
(40.90168573300008, -73.77862865399999)"
MADRID WADDINGTON CENTRAL SCHOOL,MADRID WADDINGTON J S H S,Saint Lawrence,Public School,53,No,0,0,0,53,Yes,09/21/2016,53,0,Yes,Yes,12/31/2016,http://www.mwcsk12.org/,511901040001,PO Box 67,MADRID,NY,13660,11/16/2016,01/04/2017,"(44.689468, -75.242045)","PO Box 67
MADRID, NY 13660
(44.74633680000005, -75.12890319999997)"
HANCOCK CENTRAL SCHOOL DISTRICT,HANCOCK ES,Delaware,Public School,59,No,0,0,0,59,Yes,09/25/2016,48,11,Yes,Yes,12/02/2016,http://www.hancock.stier.org,120906040001,206 WILDCAT DR,HANCOCK,NY,13783,11/04/2016,12/07/2016,"(42.242972, -74.997944)","206 WILDCAT DR
HANCOCK, NY 13783
(41.95866668600007, -75.28246878199997)"
MANCHESTER-SHORTSVILLE SCHOOL DISTRICT,RED JACKET ELEM SCHOOL,Ontario,Public School,97,This school has one or more lead-free buildings,97,0,0,0,Yes,11/08/2016,96,1,Yes,Yes,11/08/2016,www.redjacket.org,431101040001,1506 ROUTE 21,SHORTSVILLE,NY,14548,12/06/2016,12/06/2016,"(42.894571, -77.252045)","1506 ROUTE 21
SHORTSVILLE, NY 14548
(42.95995238800003, -77.23031006299993)"
LINDENHURST UNION FREE SCHOOL,HARDING AVENUE SCHOOL,Suffolk,Public School,72,No,58,0,0,22,Yes,12/01/2016,71,1,Yes,Yes,12/07/2016,http://www.lindenhurstschools.org/Assets/2016-17/Lindenhurst_UFSD.pdf?t=636147252529330000,580104030005,2 HARDING AVE,LINDENHURST,NY,11757,10/19/2018,10/19/2018,"(40.820237, -73.119032)","2 HARDING AVE
LINDENHURST, NY 11757
(40.67473959700004, -73.35305497499996)"
HALF HOLLOW HILLS CENTRAL SCH,PAUMANOK ELEM SCHOOL,Suffolk,Public School,62,No,62,0,0,0,Yes,01/20/2017,62,0,Yes,Yes,08/22/2017,www.halfhollowhills.k12.ny.us,580405060012,1 SEAMAN NECK RD,DIX HILLS,NY,11746,10/10/2018,10/10/2018,"(40.820237, -73.119032)","1 SEAMAN NECK RD
DIX HILLS, NY 11746
(40.77343678300008, -73.34488178099997)"
GLEN COVE CITY SCHOOLS,CONNOLLY SCHOOL,Nassau,Public School,59,No,16,0,0,39,Yes,09/29/2016,59,0,Yes,Yes,10/05/2016,http://www.glencove.k12.ny.us/NewsAssets/39959/Important_Message_from_the_Superintendent_-_Water_Testing.pdf,280100010003,RIDGE DR,GLEN COVE,NY,11542,10/19/2018,10/19/2018,"(40.715749, -73.601185)","RIDGE DR
GLEN COVE, NY 11542
(40.85986302900005, -73.60756019099995)"
HASTINGS ON HUDSON U F S,FARRAGUT MIDDLE SCHOOL,Westchester,Public School,36,No,8,0,0,28,Yes,10/07/2016,36,0,Yes,Yes,10/13/2016,www.hohschools.org,660404030002,27 FARRAGUT AVE,HASTINGS-ON-HUDSON,NY,10706,10/03/2018,10/03/2018,"(41.039278, -73.805386)","27 FARRAGUT AVE
HASTINGS-ON-HUDSON, NY 10706
(40.99400683300007, -73.87712978799993)"
GOSHEN CENTRAL SCHOOL,CJ HOOKER MS,Orange,Public School,103,No,0,0,0,103,Yes,04/13/2017,101,2,Yes,Yes,04/13/2017,www.gcsny.org,440601040004,41 LINCOLN AVE,GOSHEN,NY,10924,09/24/2018,09/24/2018,"(41.422459, -74.241929)","41 LINCOLN AVE
GOSHEN, NY 10924
(41.40789538700005, -74.32495756599997)"
KINGS PARK CENTRAL SCHOOL,KINGS PARK H S,Suffolk,Public School,33,No,33,0,0,0,Yes,05/27/2016,30,3,Yes,Yes,07/21/2016,http://www.kpcsd.org/documents.cfm?id=5123,580805060004,RT 25A,KINGS PARK,NY,11754,11/11/2016,11/11/2016,"(40.820237, -73.119032)","RT 25A
KINGS PARK, NY 11754
(40.884408000000064, -73.24528939499999)"
HAMMONDSPORT CENTRAL SCHOOL,HAMMONDSPORT J S H S,Steuben,Public School,78,No,12,0,0,66,Yes,08/03/2017,49,13,Yes,Yes,11/29/2016,www.hammondsportcsd.org,572901040004,8272 MAIN ST,HAMMONDSPORT,NY,14840,09/24/2018,12/05/2016,"(42.270053, -77.324618)","8272 MAIN ST
HAMMONDSPORT, NY 14840
(42.403246858000045, -77.22246619999999)"
ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,THOMAS EDISON HS,Chemung,Public School,73,No,0,0,0,73,Yes,10/05/2016,73,0,Yes,Yes,05/07/2017,heightsschoos.com,070902060002,2083 COLLEGE AVE,ELMIRA HEIGHTS,NY,14903,11/05/2018,10/11/2018,"(42.116644, -76.812331)","2083 COLLEGE AVE
ELMIRA HEIGHTS, NY 14903
(42.123836148000066, -76.82441757699996)"
NEWARK CENTRAL SCHOOL,NORMAN R KELLEY ELEM SCHOOL,Wayne,Public School,46,No,45,0,0,1,Yes,09/20/2016,44,2,Yes,Yes,09/20/2016,newarkcsd.org,650101060002,316 WEST MILLER ST,NEWARK,NY,14513,12/05/2016,11/09/2016,"(43.144336, -77.117995)","316 WEST MILLER ST
NEWARK, NY 14513
(43.04555254300004, -77.10097152699996)"
FALCONER CENTRAL SCHOOL DISTRICT,FALCONER MIDDLE SCHOOL,Chautauqua,Public School,7,No,0,0,0,7,Yes,09/29/2016,7,0,No,Yes,11/15/2016,falconerschools.org,061101040005,2 East Ave,Falconer,NY,14733,12/19/2016,12/19/2016,"(42.246904, -79.315313)","2 East Ave
Falconer, NY 14733
(42.12284988500005, -79.19391558099994)"
GOUVERNEUR CENTRAL SCHOOL,EAST SIDE ELEM SCHOOL,Saint Lawrence,Public School,85,No,0,0,0,85,Yes,09/21/2016,83,2,Yes,Yes,03/06/2017,http://gouverneurcentralschool.org/,511101060006,111 GLEASON STREET,GOUVERNEUR,NY,13642,12/30/2016,10/29/2018,"(44.689468, -75.242045)","111 GLEASON STREET
GOUVERNEUR, NY 13642
(44.341520168000045, -75.45811288699997)"
MOUNT VERNON CITY SCHOOLS,LONGFELLOW MIDDLE SCHOOL,Westchester,Public School,86,No,86,0,0,0,Yes,06/17/2016,66,20,Yes,Yes,07/26/2016,www.mtvernoncsd.org,660900010023,624 SOUTH THIRD AVE,MT VERNON,NY,10550,02/07/2017,02/07/2017,"(41.039278, -73.805386)","624 SOUTH THIRD AVE
MT VERNON, NY 10550
(40.896133097000074, -73.82887326299993)"
MORAVIA CENTRAL SCHOOL DISTRICT,MORAVIA JSHS,Cayuga,Public School,76,No,69,0,0,0,Yes,07/01/2016,69,7,Yes,Yes,07/15/2016,http://www.moraviaschool.org/teacherpage.cfm?teacher=3108,051301040003,68 S. MAIN ST,MORAVIA,NY,13118,10/28/2016,10/28/2016,"(42.940095, -76.560755)","68 S. MAIN ST
MORAVIA, NY 13118
(42.70754944000004, -76.42089342499997)"
MOUNT VERNON CITY SCHOOLS,MOUNT VERNON H S,Westchester,Public School,216,No,216,0,0,0,Yes,06/05/2016,119,97,Yes,Yes,07/29/2016,www.mtvernoncsd.org,660900010013,100 CALIFORNIA RD,MT VERNON,NY,10552,02/07/2017,02/07/2017,"(41.039278, -73.805386)","100 CALIFORNIA RD
MT VERNON, NY 10552
(40.926438630000064, -73.81625097399996)"
